버스정류장명,정류장번호,도로명주소,지번주소,위도,경도,기준일
만종1교,68491,,강원특별자치도 원주시 호저면 만종리 1266,37.356792,127.90117,2024-03-31
문막시장,68492,,강원특별자치도 원주시 문막읍 문막리  1070,37.306135,127.81632,2024-03-31
극동아파트,68493,,강원특별자치도 원주시 문막읍 건등리  1478,37.315169,127.82266,2024-03-31
극동아파트,68494,,강원특별자치도 원주시 문막읍 건등리 1741,37.315278,127.822548,2024-03-31
합포원,68495,,강원특별자치도 원주시 무실동 964,37.315363,127.911905,2024-03-31
합포원,68496,,강원특별자치도 원주시 무실동 1496,37.315245,127.911916,2024-03-31
신한아파트,68497,,강원특별자치도 원주시 문막읍 건등리  1727,37.313747,127.820079,2024-03-31
신한아파트,68498,,강원특별자치도 원주시 문막읍 건등리  1727,37.313612,127.820204,2024-03-31
중방골,68499,,강원특별자치도 원주시 호저면 주산리  291,37.396128,127.927625,2024-03-31
중방골,68500,강원특별자치도 원주시 호저면 호매곡1길 67,강원특별자치도 원주시 호저면 주산리 280,37.396123,127.927784,2024-03-31
용암2리마을회관,68501,,강원특별자치도 원주시 신림면 용암리  1082,37.210638,128.086446,2024-03-31
효다함요양원,68502,,강원특별자치도 원주시 소초면 둔둔리  197,37.43709,127.99168,2024-03-31
효다함요양원,68503,,강원특별자치도 원주시 소초면 둔둔리  202,37.437194,127.991878,2024-03-31
신성미소지움,68504,,강원특별자치도 원주시 단구동 128,37.324103,127.960409,2024-03-31
문막공업단지,68505,,강원특별자치도 원주시 문막읍 반계리  2261,37.300589,127.80199,2024-03-31
KBS송신소,68506,,강원특별자치도 원주시 태장동 809,37.359349,127.954272,2024-03-31
사랑간호데이케어센터,68507,,강원특별자치도 원주시 개운동   453,37.333252,127.952032,2024-03-31
유알컬쳐파크,68508,,강원특별자치도 원주시 지정면 안창리 산13,37.358408,127.799572,2024-03-31
유알컬쳐파크,68509,,강원특별자치도 원주시 지정면 안창리 산13,37.358034,127.799473,2024-03-31
여운터사거리,68510,,강원특별자치도 원주시 지정면 가곡리  1318,37.370294,127.875829,2024-03-31
여운터사거리,68511,,강원특별자치도원주시 지정면 신평리  1045,37.37057,127.875772,2024-03-31
가래머리,68512,강원특별자치도 원주시 신림면 석동구미길 31-16,강원특별자치도 원주시 신림면 구학리 764,37.210639,128.071599,2024-03-31
가래머리,68513,,강원특별자치도 원주시 신림면 구학리 15,37.21073,128.071483,2024-03-31
흥양초등학교후문,68514,,강원특별자치도 원주시 소초면 흥양리  1763,37.380725,127.997937,2024-03-31
일정골앞,68515,강원특별자치도 원주시 문막읍 취병로 594,강원특별자치도 원주시 문막읍 취병리 752,37.340266,127.771535,2024-03-31
일정골앞,68516,,강원특별자치도 원주시 문막읍 취병리 산55,37.340233,127.771429,2024-03-31
취병낚시터,68517,,강원특별자치도 원주시 문막읍 취병리 896,37.325271,127.785771,2024-03-31
부딴골,68518,강원특별자치도 원주시 부론면 사기막길 112-10,강원특별자치도 원주시 부론면 단강리 298,37.160174,127.814994,2024-03-31
상부론동,68519,,강원특별자치도 원주시 부론면 단강리  307,37.162347,127.814589,2024-03-31
평장개,68520,,강원특별자치도 원주시 부론면 단강리  1566,37.157979,127.816513,2024-03-31
동막골,68521,,강원특별자치도 원주시 부론면 단강리  1461,37.17393,127.816086,2024-03-31
작실골,68522,,강원특별자치도 원주시 부론면 단강리  1461,37.16545,127.813779,2024-03-31
아래사기막,68523,,강원특별자치도 원주시 부론면 단강리 141,37.176107,127.816334,2024-03-31
질골,68524,,강원특별자치도 원주시 부론면 단강리 산34,37.167938,127.813444,2024-03-31
남원주농협,68525,,강원특별자치도 원주시 흥업면 흥업리  591,37.303279,127.918722,2024-03-31
모래기마을,68526,,강원특별자치도 원주시 봉산동   1155,37.360983,127.992013,2024-03-31
모래기마을,68527,,강원특별자치도 원주시 봉산동 214,37.360954,127.99204,2024-03-31
능골,68528,강원특별자치도 원주시 육판길 210,강원특별자치도 원주시 봉산동 1154,37.365884,127.980982,2024-03-31
능골,68529,강원특별자치도 원주시 번재길 331,강원특별자치도 원주시 봉산동 329,37.365911,127.981028,2024-03-31
번재소류지,68530,,강원특별자치도 원주시 봉산동 309,37.364757,127.978191,2024-03-31
번재,68531,,강원특별자치도 원주시 봉산동 343,37.363437,127.977595,2024-03-31
번재,68532,강원특별자치도 원주시 번재길 258,강원특별자치도 원주시 봉산동 산 106,37.36187,127.976939,2024-03-31
육판길삼거리,68533,,강원특별자치도 원주시 봉산동 728,37.36089,127.976686,2024-03-31
육판길삼거리,68534,,강원특별자치도 원주시 봉산동   1161,37.360932,127.976627,2024-03-31
번재삼거리,68535,,강원특별자치도 원주시 봉산동 647,37.358905,127.976866,2024-03-31
철다리,68536,,강원특별자치도 원주시 봉산동 608,37.355782,127.97605,2024-03-31
살대울,68537,,강원특별자치도 원주시 봉산동 581,37.352189,127.974908,2024-03-31
살대울모래기길사거리,68538,,강원특별자치도 원주시 봉산동   370,37.358856,127.988492,2024-03-31
살대울모래기길사거리,68539,,강원특별자치도 원주시 봉산동   370,37.358883,127.988542,2024-03-31
소초삼거리,68540,,강원특별자치도 원주시 소초면 평장리 749,37.418149,128.000853,2024-03-31
원대,68541,,강원특별자치도 원주시 소초면 장양리 1012,37.422305,127.964561,2024-03-31
판대1리,68542,강원특별자치도 원주시 지정면 지정로 1228-1,강원특별자치도 원주시 지정면 판대리 650,37.379701,127.791828,2024-03-31
거름터,68543,,강원특별자치도 원주시 행구동   1832,37.349611,127.997954,2024-03-31
섭재둔덕,68544,,강원특별자치도 원주시 관설동 512,37.30859,127.98564,2024-03-31
주막거리,68545,,강원특별자치도 원주시 귀래면 운계리 산127,37.198086,127.885071,2024-03-31
쏘다지기,68546,,강원특별자치도 원주시 지정면 판대리 206,37.374512,127.793615,2024-03-31
흥업자동차운전전문학원,68547,강원특별자치도 원주시 흥업면 승안동길 43,강원특별자치도 원주시 흥업면 대안리 380,37.31393,127.894086,2024-03-31
흥업자동차운전전문학원,68548,,강원특별자치도 원주시 흥업면 대안리  2210,37.314123,127.894207,2024-03-31
개봉교,68549,,강원특별자치도 원주시 봉산동 1146,37.345559,127.958336,2024-03-31
개봉교,68550,,강원특별자치도 원주시 봉산동 1147,37.345016,127.959086,2024-03-31
대안로입구,68551,,강원특별자치도 원주시 문막읍 비두리  365,37.246589,127.857923,2024-03-31
삼광택지,68552,,강원특별자치도 원주시 봉산동 925,37.343173,127.963277,2024-03-31
삼광택지,68553,,강원특별자치도 원주시 봉산동 927,37.343531,127.963103,2024-03-31
건등사앞,68554,,강원특별자치도 원주시 문막읍 건등리 403,37.324245,127.819287,2024-03-31
선비마을,68555,,강원특별자치도 원주시 문막읍 궁촌리 748,37.277112,127.829327,2024-03-31
효성백년가약아파트후문,68556,,강원특별자치도 원주시 행구동 1760,37.342885,127.971556,2024-03-31
효성백년가약아파트후문,68557,,강원특별자치도 원주시 행구동 1803,37.342887,127.971751,2024-03-31
법등마을,68558,,강원특별자치도 원주시 귀래면 운남리 1448,37.16551,127.884549,2024-03-31
아래황골,68559,,강원특별자치도 원주시 소초면 흥양리  1031,37.370589,127.99965,2024-03-31
양지말,68560,,강원특별자치도 원주시 부론면 손곡리  1364,37.2282,127.785044,2024-03-31
쏘다지기,68561,,강원특별자치도 원주시 지정면 판대리 208,37.375099,127.793714,2024-03-31
동막골,68562,,강원특별자치도 원주시 지정면 안창리  857,37.355105,127.783343,2024-03-31
동막골,68563,,강원특별자치도 원주시 지정면 안창리 766,37.355254,127.783518,2024-03-31
당둔지승강장,68564,,강원특별자치도 원주시 관설동   287,37.307656,127.978489,2024-03-31
관설초등학교,68565,,강원특별자치도 원주시 관설동 634,37.308524,127.97688,2024-03-31
흥대,68566,강원특별자치도 원주시 흥업면 흥대길 66-2,강원특별자치도 원주시 흥업면 흥업리 1566,37.296711,127.909455,2024-03-31
학마을,68567,,강원특별자치도 원주시 관설동 679,37.304277,127.979454,2024-03-31
학마을,68568,,강원특별자치도 원주시 관설동 678,37.305382,127.977821,2024-03-31
웃골,68569,,강원특별자치도 원주시 귀래면 귀래리 산128,37.223209,127.89537,2024-03-31
흥화브라운빌,68571,,강원특별자치도 원주시 태장동 688,37.361046,127.95655,2024-03-31
우산1교,68572,,강원특별자치도 원주시 우산동 405,37.378703,127.943003,2024-03-31
벽산블루밍아파트,68573,,강원특별자치도 원주시 반곡동   1798,37.338263,127.965783,2024-03-31
팔포마을,68574,,강원특별자치도 원주시 지정면 보통리 285,37.340729,127.875095,2024-03-31
팔포마을,68575,,강원특별자치도 원주시 지정면 보통리 291,37.340948,127.874977,2024-03-31
하현골정류장,68576,,강원특별자치도 원주시 부론면 손곡리  985,37.234459,127.796418,2024-03-31
하현골정류장,68577,,강원특별자치도 원주시 부론면 손곡리  985,37.234664,127.796623,2024-03-31
불근덕고개정류장,68578,,강원특별자치도 원주시 부론면 법천리 788,37.216094,127.766557,2024-03-31
불근덕고개정류장,68579,,강원특별자치도 원주시 부론면 법천리  산 18,37.216176,127.766772,2024-03-31
행구교차로,68582,,강원특별자치도 원주시 행구동 1072,37.344508,127.997143,2024-03-31
만종교차로,68583,,강원특별자치도 원주시 호저면 만종리 605,37.354166,127.900775,2024-03-31
